index-SBgTUTBi.js:451 🔄 UNIFIED PIPELINE: Events: 2611 Incidents: 7400
index-SBgTUTBi.js:451 🏠 HOME LOCATION: Caloundra, Sunshine Coast Regional 4551, Queensland COORDINATES: {lat: -26.7981633, lon: 153.1354434} RADIUS: 50km
 👤 USER INCIDENT: {id: 'user:5be62f12-039d-4458-8f44-e57c091ebca7', title: 'FIRE VEGETATION - BRUCE HWY, CARMILA', location: 'BRUCE HWY', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:d8f257a6-459a-43ad-b48d-24b799ddcca2', title: 'FIRE VEGETATION - Aherns Rd, CONONDALE', location: 'Aherns Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9e65e341-825e-4c62-99ee-3e756d397b9b', title: 'FIRE VEGETATION - AUBURN RD, BLACKSWAMP', location: 'AUBURN RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5cb6c7f9-eea2-464e-878c-30cc7b3a4364', title: 'FIRE VEGETATION - Bruce Hwy & Basin Creek, CARMILA', location: 'Bruce Hwy & Basin Creek', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:91cf039f-ad15-47d9-b7d3-cd2f7daa9402', title: 'FIRE VEGETATION - BLACKSWAMP RD, BLACKSWAMP', location: 'BLACKSWAMP RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3ece5bb2-31c8-4f25-a375-8bb938a57aab', title: 'FIRE VEGETATION - Rd & Chain Break Rd N, BARAKULA', location: 'Rd & Chain Break Rd N', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:4f7deffd-46a6-41e0-90d3-f7f6c5a722fa', title: 'FIRE VEGETATION - East Funnel Creek Rd, SARINA RANGE', location: 'East Funnel Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9acefd16-3b7c-40f7-af1e-8d18709af4be', title: 'FIRE VEGETATION - Cone Creek Rd, KOUMALA', location: 'Cone Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:28b67a12-25b1-48b3-b279-c9e819b41a50', title: 'FIRE PERMITTED BURN - Portland Rd, IRON RANGE', location: 'Portland Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:da260b18-062e-411d-a193-e098ad7c014b', title: 'FIRE VEGETATION - Flaggy Rd, COOKTOWN', location: 'Flaggy Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5b006ab9-7edb-46db-9225-db90e2251a34', title: 'FIRE VEGETATION - Rileys Crossing Rd, MACKENZIE RIVER', location: 'Rileys Crossing Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:fc581428-09cf-413c-9acd-06ee5b9fca32', title: 'FIRE VEGETATION - Cape Palmerston Rd, ILBILBIE', location: 'Cape Palmerston Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:66e9f94f-95ad-4878-b34a-aa6c7a65611e', title: 'FIRE VEGETATION - Cameby Rd & Stevensons Rd, CAMEBY', location: 'Cameby Rd & Stevensons Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:150bcfe8-9fed-45f1-8887-f342e2d6e148', title: 'FIRE VEGETATION - Bruce Hwy & Basin Creek, CARMILA', location: 'Bruce Hwy & Basin Creek', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:29908876-8a4d-481c-b6b3-bf382242d8c0', title: 'FIRE OTHER - Cardiff Ct, MOUNT LOUISA', location: 'Cardiff Ct', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f2cd92be-ef54-4c94-84c2-7f762f5aa133', title: 'FIRE VEHICLE - Greendale Ct, STRATHPINE', location: 'Greendale Ct', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f9bbd5a6-08f5-4ab8-a172-e6262c3bd9b8', title: 'FIRE VEGETATION - Cone Creek Rd, KOUMALA', location: 'Cone Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:37db32c8-a701-4b86-b41d-27d7dfc83ce5', title: 'FIRE VEGETATION - Rileys Crossing Rd, MACKENZIE RIVER', location: 'Rileys Crossing Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0ae8258f-6b1f-4ed5-821a-1bc755fe1be9', title: 'FIRE VEGETATION - AUBURN RD, BLACKSWAMP', location: 'AUBURN RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3b9f49b9-101c-48d7-967d-b70eb7b7d176', title: 'FIRE VEGETATION - Cameby Rd & Stevensons Rd, CAMEBY', location: 'Cameby Rd & Stevensons Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:6eba05e8-b846-4db5-8cf7-9ca86ddccb91', title: 'FIRE VEGETATION - Cape Palmerston Rd, ILBILBIE', location: 'Cape Palmerston Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:64270e76-1334-42ce-90a1-3fd584113f54', title: 'FIRE VEGETATION - Flaggy Rd, COOKTOWN', location: 'Flaggy Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:bd7b1225-0504-48ad-ac03-4c5e9336b868', title: 'FIRE VEGETATION - Rd & Chain Break Rd N, BARAKULA', location: 'Rd & Chain Break Rd N', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:84fd7496-3ab2-4519-abe0-778bc1828118', title: 'FIRE VEGETATION - Proposed Rd, WARKON', location: 'Proposed Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e8c775b7-c838-4d97-a90e-796897b1d5aa', title: 'FIRE VEGETATION - DOUGHBOY RD, DOUGHBOY', location: 'DOUGHBOY RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:be202995-d493-4ee0-8094-31a7fc35933d', title: 'FIRE VEGETATION - DOUGHBOY RD, DOUGHBOY', location: 'DOUGHBOY RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e4083026-df36-41a5-bedf-3c3b1e89eef0', title: 'FIRE VEGETATION - DOUGHBOY RD, DOUGHBOY', location: 'DOUGHBOY RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:a38c8d95-b3b0-4b5e-83ce-1e14a3d1cde2', title: 'FIRE VEGETATION - DOUGHBOY RD, DOUGHBOY', location: 'DOUGHBOY RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0cbc8a16-582d-4a03-b538-2968acaf8ee3', title: 'FIRE VEGETATION - Bremner Rd, ROTHWELL', location: 'Bremner Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:89e2b433-933e-4f7d-80c2-8b59396fd88f', title: 'FIRE VEGETATION - DOUGHBOY RD, DOUGHBOY', location: 'DOUGHBOY RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9c3464bc-1614-469d-8f89-3cac122e95c2', title: 'FIRE VEGETATION - Bremner Rd, ROTHWELL', location: 'Bremner Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e6238dc6-3fa4-4741-b133-d8395dd8b722', title: 'FIRE VEGETATION - DOUGHBOY RD, DOUGHBOY', location: 'DOUGHBOY RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:938456f6-63c8-47fc-aab1-e25c7845be31', title: 'FIRE VEGETATION - Bremner Rd, ROTHWELL', location: 'Bremner Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f945675c-09cd-44b8-97d2-2abc9c073bba', title: 'FIRE VEGETATION - DOUGHBOY RD, DOUGHBOY', location: 'DOUGHBOY RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5aca0dab-d2f0-46fe-89ca-498c8c8a42f2', title: 'FIRE VEGETATION - DOUGHBOY RD, DOUGHBOY', location: 'DOUGHBOY RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:cbfe0493-7e94-46f6-8a35-39af010199f8', title: 'FIRE VEGETATION - WHITES CREEK RD, LAKELAND', location: 'WHITES CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:d8eddee2-72e3-431d-ad5d-1f141dc83a79', title: 'FIRE VEGETATION - DOUGHBOY RD, DOUGHBOY', location: 'DOUGHBOY RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:06a17fca-b87c-4d20-a669-8fc64d5e16d2', title: 'FIRE VEGETATION - WHITES CREEK RD, LAKELAND', location: 'WHITES CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:dbfbec63-8285-46eb-9a57-eaadfb13cd9f', title: 'FIRE VEGETATION - DOUGHBOY RD, DOUGHBOY', location: 'DOUGHBOY RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b458e6f4-ad06-4c1d-b8a1-caa90586c844', title: 'FIRE PERMITTED BURN - CURTIS RD, CARRUCHAN', location: 'CURTIS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:33df2a8c-f534-400c-aa86-f3f9e276e81a', title: 'FIRE VEGETATION - Doughboy Rd, DOUGHBOY', location: 'Doughboy Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:60a2cce7-c624-4f8d-b528-634b67a43eff', title: 'FIRE PERMITTED BURN - Speewah Rd, SPEEWAH', location: 'Speewah Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:7b1adae6-c68e-4b8a-a365-c45f0dc95844', title: 'FIRE VEGETATION - Whites Creek Rd, LAKELAND', location: 'Whites Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:21af03c3-01c6-439f-b76f-ac5a97a07a5f', title: 'FIRE PERMITTED BURN - CURTIS RD, CARRUCHAN', location: 'CURTIS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9b4fc2db-da61-4625-bdde-b066c75ddbdb', title: 'FIRE VEGETATION - Whites Creek Rd, LAKELAND', location: 'Whites Creek Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:c96286fa-9b7b-4da8-a484-d56a849812fc', title: 'FIRE PERMITTED BURN - Speewah Rd, SPEEWAH', location: 'Speewah Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ddfe78eb-f7e4-4f12-aa16-ada24d718ae0', title: 'FIRE VEGETATION - Bruce Hwy & Gladstone Mount Larcom Rd, MOUNT LARCOM', location: 'Bruce Hwy & Gladstone Mount Larcom Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:c95462d3-fc29-4086-a7d0-5a38e4fb3132', title: 'FIRE VEGETATION - BEAUDESERT BOONAH RD, BROMELTON', location: 'BEAUDESERT BOONAH RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:01a30a51-ef98-495d-b1e8-c67d48afae15', title: 'FIRE VEGETATION - DOUGHBOY RD, DOUGHBOY', location: 'DOUGHBOY RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:a980f20b-8068-48f1-93d2-80536bf96bda', title: 'FIRE VEGETATION - Doughboy Rd, DOUGHBOY', location: 'Doughboy Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:6643acdd-31c9-4846-98f3-568cdc037ea6', title: 'FIRE VEGETATION - Unknown, HERVEY RANGE', location: 'Unknown', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:67043f1b-54b3-4be2-83be-806f9e478b6f', title: 'FIRE VEGETATION - Unknown, HERVEY RANGE', location: 'Unknown', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:22cbba43-5dec-4bd4-925a-0f6fb9c869b6', title: 'FIRE VEGETATION - Unknown, HERVEY RANGE', location: 'Unknown', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:584345eb-3b33-4d44-84ee-4dd30b58e93a', title: 'FIRE VEGETATION - PEDWELL RD, MOUNT MEE', location: 'PEDWELL RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:6d81527f-1b14-4cd3-85eb-d0c7cf01c31d', title: 'FIRE VEGETATION - Unknown, HERVEY RANGE', location: 'Unknown', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e922d1c9-e077-4f05-a269-d45a2384df8c', title: 'FIRE VEGETATION - PEDWELL RD, MOUNT MEE', location: 'PEDWELL RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5e7c1613-5c41-4ff1-9698-11e098294ac2', title: 'FIRE VEGETATION - Unknown, HERVEY RANGE', location: 'Unknown', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:a83048ed-feb9-46cd-ba0c-714a3d53c85b', title: 'FIRE VEGETATION - Unknown, HERVEY RANGE', location: 'Unknown', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f70fd934-4368-4248-9780-2199acc34ddd', title: 'FIRE VEGETATION - Unknown, HERVEY RANGE', location: 'Unknown', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:8aefe0cf-0d0a-4169-8e30-da93936d9805', title: 'FIRE VEGETATION - PEDWELL RD, MOUNT MEE', location: 'PEDWELL RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:bf3a8296-5756-4363-8976-566cc70273ce', title: 'FIRE VEGETATION - Unknown, HERVEY RANGE', location: 'Unknown', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:90382719-02e5-47ed-a484-d02ec956199c', title: 'FIRE VEGETATION - PEDWELL RD, MOUNT MEE', location: 'PEDWELL RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:afa662af-bc20-4c8d-83e5-e6843c0c11eb', title: 'FIRE VEGETATION - Unknown, HERVEY RANGE', location: 'Unknown', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:447def4f-da46-4703-bb0f-8383ed4e7b68', title: 'FIRE VEGETATION - PEDWELL RD, MOUNT MEE', location: 'PEDWELL RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5a36ba7e-22d2-40d6-9a9b-8d06fac80e45', title: 'FIRE VEGETATION - Unknown, HERVEY RANGE', location: 'Unknown', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b3572319-0a3e-4e14-94dd-b4db4af9a084', title: 'FIRE OTHER - Lauderdale Rd, PENTLAND', location: 'Lauderdale Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:47f0a370-1c51-4431-80b8-4a4ea13896e3', title: 'FIRE OTHER - Lauderdale Rd, PENTLAND', location: 'Lauderdale Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:fb799486-1d8a-46b3-adb7-da7955ac20aa', title: 'FIRE VEGETATION - Unknown, HERVEY RANGE', location: 'Unknown', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:da405713-d110-4bd2-ad43-6df21c4a286a', title: 'FIRE VEGETATION - PEDWELL RD, MOUNT MEE', location: 'PEDWELL RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:7cd719ce-af64-4335-a92b-414a5c4c876a', title: 'FIRE VEGETATION - Unknown, HERVEY RANGE', location: 'Unknown', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ca863602-fc90-448c-8449-d5d1ccb7ec87', title: 'FIRE VEGETATION - BOUNDARY RD & MCLAUGHLINS RD, CADARGA', location: 'BOUNDARY RD & MCLAUGHLINS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5ce59559-62ad-46ea-a308-29f19ceb268c', title: 'FIRE VEGETATION - BOUNDARY RD & MCLAUGHLINS RD, CADARGA', location: 'BOUNDARY RD & MCLAUGHLINS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:1bd7e7b7-0cda-48b6-a102-84a8b206c87a', title: 'FIRE VEGETATION - BOUNDARY RD & MCLAUGHLINS RD, CADARGA', location: 'BOUNDARY RD & MCLAUGHLINS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:a53230e1-7bce-4d4f-bd9d-b1cb7374022e', title: 'FIRE VEGETATION - BOUNDARY RD & MCLAUGHLINS RD, CADARGA', location: 'BOUNDARY RD & MCLAUGHLINS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:cb98442f-19ea-4f9c-831b-d4ad00a3ff0f', title: 'FIRE VEGETATION - BOUNDARY RD & MCLAUGHLINS RD, CADARGA', location: 'BOUNDARY RD & MCLAUGHLINS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:bb3092a3-433c-4c46-9f0d-15e7e9dd6840', title: 'FIRE VEGETATION - BOUNDARY RD & MCLAUGHLINS RD, CADARGA', location: 'BOUNDARY RD & MCLAUGHLINS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:cac123ed-be8a-48b4-8e33-696519cd9363', title: 'FIRE VEGETATION - BOUNDARY RD & MCLAUGHLINS RD, CADARGA', location: 'BOUNDARY RD & MCLAUGHLINS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:fccc739e-d0e7-4c20-9802-94801da5e0cc', title: 'FIRE VEGETATION - BOUNDARY RD & MCLAUGHLINS RD, CADARGA', location: 'BOUNDARY RD & MCLAUGHLINS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:6e201570-9fe7-4caa-abfd-626854182e43', title: 'FIRE VEGETATION - BOUNDARY RD & MCLAUGHLINS RD, CADARGA', location: 'BOUNDARY RD & MCLAUGHLINS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:23aeaaf8-fcbf-4a21-a9ee-ffff70609e9e', title: 'FIRE VEGETATION - BOUNDARY RD & MCLAUGHLINS RD, CADARGA', location: 'BOUNDARY RD & MCLAUGHLINS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:704d4fd0-e185-4277-9942-492fe2f251a0', title: 'FIRE VEGETATION - Mcandrew Dr & Callemondah Rd, CLINTON', location: 'Mcandrew Dr & Callemondah Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:071d6a9c-e0d8-459e-bef2-5a4c7d3610cb', title: 'FIRE VEGETATION - BOUNDARY RD & MCLAUGHLINS RD, CADARGA', location: 'BOUNDARY RD & MCLAUGHLINS RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f8eade1d-09b5-4c8a-8a7e-02b627dd6826', title: 'FIRE VEGETATION - Sagaukaz St, BAMAGA', location: 'Sagaukaz St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3ff1b780-574f-4008-a7e4-86055778510b', title: 'FIRE VEGETATION - ALLIES CREEK RD, CADARGA', location: 'ALLIES CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:774d174b-7e63-43cf-b6b3-3eb0c96c9a4b', title: 'FIRE VEHICLE - Mulgrave Rd, PARRAMATTA PARK', location: 'Mulgrave Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:486557d9-9de9-4e9b-91d1-9f342c9f1214', title: 'RESCUE ROAD CRASH - CHEVALLUM RD & RAINFOREST RD, CHEVALLUM', location: 'CHEVALLUM RD & RAINFOREST RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ab5a7dba-f0be-40a7-b947-df03650d2c08', title: 'RESCUE ROAD CRASH - Warrego Hwy Wb & Forest Hill Fernvale Rd, GLENORE GROVE', location: 'Warrego Hwy Wb & Forest Hill Fernvale Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f7d78a98-623a-4376-9676-9f9c60fdd295', title: 'FIRE PERMITTED BURN - New England Hwy, HARLAXTON', location: 'New England Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:bce7063f-e473-4157-a2e4-7fac7a86431a', title: 'FIRE STRUCTURE - College St, NORTH LAKES', location: 'College St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:6561c247-98cd-4989-8834-0fbe2b182a91', title: 'FIRE VEGETATION - Keppel Sands Rd, TUNGAMULL', location: 'Keppel Sands Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:19723aa1-183a-4544-b5fe-28d17950eea9', title: 'FIRE VEHICLE - Donnybrook Rd Off Ramp, ELIMBAH', location: 'Donnybrook Rd Off Ramp', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:86084b59-35b0-47ab-bd7a-b5fc9f9cd0da', title: 'RESCUE ROAD CRASH - CHEVALLUM RD & RAINFOREST RD, CHEVALLUM', location: 'CHEVALLUM RD & RAINFOREST RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3948f696-c618-47cd-9f1f-1c67223354e0', title: 'FIRE STRUCTURE - College St, NORTH LAKES', location: 'College St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:c894b5b0-1ee1-4719-89e6-46893e60521e', title: 'RESCUE ROAD CRASH - Warrego Hwy Wb & Forest Hill Fernvale Rd, GLENORE GROVE', location: 'Warrego Hwy Wb & Forest Hill Fernvale Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:4354a12f-94b5-4c13-89f2-e3539bb07619', title: 'FIRE VEGETATION - Keppel Sands Rd, TUNGAMULL', location: 'Keppel Sands Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:15f8290b-ee0e-4c95-817d-2e513a49aadd', title: 'FIRE VEGETATION - Swagman Dr, DECEPTION BAY', location: 'Swagman Dr', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:40a3d571-3305-4d92-8fd5-9636c6f13f37', title: 'FIRE VEHICLE - Donnybrook Rd Off Ramp, ELIMBAH', location: 'Donnybrook Rd Off Ramp', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:6f57623d-6774-47a3-802c-9faf55aec2d2', title: 'FIRE PERMITTED BURN - New England Hwy, HARLAXTON', location: 'New England Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0aa6f228-d0c1-4037-94a7-6604c075985d', title: 'FIRE STRUCTURE - RAY JONES DR & AUMULLER ST, PORTSMITH', location: 'RAY JONES DR & AUMULLER ST', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:04a38f16-f4d6-4bfd-aaa2-642d27e932c2', title: 'FIRE STRUCTURE - RAY JONES DR & AUMULLER ST, PORTSMITH', location: 'RAY JONES DR & AUMULLER ST', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9295e7e3-6ec1-4c49-b017-d32779e46243', title: 'FIRE STRUCTURE - MORAYFIELD RD, CABOOLTURE SOUTH', location: 'MORAYFIELD RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e0ba6883-b7dc-4ab4-bf7b-b537fee05152', title: 'FIRE STRUCTURE - MORAYFIELD RD, CABOOLTURE SOUTH', location: 'MORAYFIELD RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ce8ceec0-2695-4cca-a852-ace898b5f559', title: 'FIRE VEGETATION - BEERBURRUM RD, ELIMBAH', location: 'BEERBURRUM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e39b3566-e7c0-454f-b3ce-7d60085b8b81', title: 'FIRE VEGETATION - BEERBURRUM RD, ELIMBAH', location: 'BEERBURRUM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:69c70f5a-197d-4e8c-a8f5-2f0216a9a808', title: 'FIRE VEGETATION - BEERBURRUM RD, ELIMBAH', location: 'BEERBURRUM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:dc03bc8d-b787-41e3-86c0-6a5da0bd3022', title: 'FIRE VEGETATION - BEERBURRUM RD, ELIMBAH', location: 'BEERBURRUM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:4bf88b6f-3366-4a52-ad27-c728cf86a6c6', title: 'FIRE VEGETATION - BEERBURRUM RD, ELIMBAH', location: 'BEERBURRUM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:1837b9e3-a069-4a6e-a7bd-97842e41b375', title: 'FIRE VEGETATION - BEERBURRUM RD, ELIMBAH', location: 'BEERBURRUM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:948bdd91-13d2-43b5-b0f8-cddbd0183223', title: 'FIRE VEGETATION - BEERBURRUM RD, ELIMBAH', location: 'BEERBURRUM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:226742a2-af19-4574-9a49-6427ab653459', title: 'FIRE VEGETATION - BEERBURRUM RD, ELIMBAH', location: 'BEERBURRUM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0bb0e2b4-1086-49b5-8a60-d1ae1a31769a', title: 'FIRE VEGETATION - BEERBURRUM RD, ELIMBAH', location: 'BEERBURRUM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:84b05654-066e-4ff3-8492-c9fefc4429bd', title: 'FIRE VEGETATION - BEERBURRUM RD, ELIMBAH', location: 'BEERBURRUM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:1e392c0d-bdf3-4804-a330-c126eb447544', title: 'FIRE VEGETATION - BEERBURRUM RD, ELIMBAH', location: 'BEERBURRUM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:2092c692-4238-4877-a980-9c1505d957a1', title: 'FIRE PERMITTED BURN - Mulligan Hwy, LAKELAND', location: 'Mulligan Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:83bd1b1a-f508-49eb-8219-ca111743e119', title: 'FIRE PERMITTED BURN - Mulligan Hwy, LAKELAND', location: 'Mulligan Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0f7c5f20-2427-4ba1-89ab-dbff327450b4', title: 'FIRE PERMITTED BURN - Mulligan Hwy, LAKELAND', location: 'Mulligan Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:d3cef9a4-2d8b-4f69-9949-42b4ab502303', title: 'FIRE PERMITTED BURN - Mulligan Hwy, LAKELAND', location: 'Mulligan Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3eb5f4c2-71da-46cd-95a9-90b8dee17444', title: 'FIRE VEGETATION - SPELLING GULLY RD & DYER RD, GOOGA CREEK', location: 'SPELLING GULLY RD & DYER RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3c0acf0d-02e4-465e-9318-4c2c9af162c2', title: 'FIRE VEGETATION - SPELLING GULLY RD & DYER RD, GOOGA CREEK', location: 'SPELLING GULLY RD & DYER RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b8b57afb-c293-4038-8d06-71eb10eee799', title: 'FIRE VEGETATION - SPELLING GULLY RD & DYER RD, GOOGA CREEK', location: 'SPELLING GULLY RD & DYER RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:219d41c5-4157-4785-a09a-ec34b07963a1', title: 'FIRE VEGETATION - SPELLING GULLY RD & DYER RD, GOOGA CREEK', location: 'SPELLING GULLY RD & DYER RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9ba1fa62-2ba7-4d38-975e-a4bd8597e085', title: 'FIRE VEGETATION - SPELLING GULLY RD & DYER RD, GOOGA CREEK', location: 'SPELLING GULLY RD & DYER RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:72cfccca-8e3c-4008-b794-9f94e5bd8d4b', title: 'FIRE VEGETATION - SPELLING GULLY RD & DYER RD, GOOGA CREEK', location: 'SPELLING GULLY RD & DYER RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e894347a-84ea-4a7a-8d1e-b52b50d39fda', title: 'FIRE VEGETATION - SPELLING GULLY RD & DYER RD, GOOGA CREEK', location: 'SPELLING GULLY RD & DYER RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0a7fe65d-6a30-4b7b-abb8-57f288024e55', title: 'FIRE PERMITTED BURN - Cloyna West Rd, CLOYNA', location: 'Cloyna West Rd', hasCoordinates: true}
